dateRecord,batteryVoltage
28/11/2023 09:48,4.81
28/11/2023 09:48,4.81
28/11/2023 09:48,4.81
28/11/2023 09:48,4.81
28/11/2023 09:48,4.81
28/11/2023 09:47,4.81
28/11/2023 09:47,4.81
28/11/2023 09:47,4.81
28/11/2023 09:47,4.81
28/11/2023 09:47,4.81
28/11/2023 09:46,4.81
28/11/2023 09:46,4.81
28/11/2023 09:46,4.81
28/11/2023 09:46,4.81
28/11/2023 09:46,4.81
28/11/2023 09:46,4.81
28/11/2023 09:45,4.81
28/11/2023 09:45,4.82
28/11/2023 09:45,4.81
28/11/2023 09:45,4.81
28/11/2023 09:45,4.81
28/11/2023 09:44,4.81
28/11/2023 09:44,4.81
28/11/2023 09:44,4.81
28/11/2023 09:44,4.81
28/11/2023 09:44,4.82
28/11/2023 09:43,4.81
28/11/2023 09:43,4.81
28/11/2023 09:43,4.82
28/11/2023 09:43,4.81
28/11/2023 09:43,4.82
28/11/2023 09:43,4.82
28/11/2023 09:42,4.81
28/11/2023 09:42,4.82
28/11/2023 09:42,4.81
28/11/2023 09:42,4.81
28/11/2023 09:42,4.82
28/11/2023 09:42,4.81
28/11/2023 09:41,4.81
28/11/2023 09:41,4.81
28/11/2023 09:41,4.82
28/11/2023 09:41,4.82
28/11/2023 09:41,4.81
28/11/2023 09:40,4.82
28/11/2023 09:40,4.83
28/11/2023 09:40,4.82
28/11/2023 09:40,4.82
28/11/2023 09:40,4.82
28/11/2023 09:40,4.82
28/11/2023 09:39,4.82
28/11/2023 09:39,4.82
28/11/2023 09:39,4.82
28/11/2023 09:39,4.81
28/11/2023 09:39,4.82
28/11/2023 09:38,4.82
28/11/2023 09:38,4.82
28/11/2023 09:38,4.82
28/11/2023 09:38,4.82
28/11/2023 09:38,4.82
28/11/2023 09:38,4.82
28/11/2023 09:37,4.82
28/11/2023 09:37,4.82
28/11/2023 09:37,4.82
28/11/2023 09:37,4.82
28/11/2023 09:37,4.82
28/11/2023 09:36,4.82
28/11/2023 09:36,4.82
28/11/2023 09:36,4.82
28/11/2023 09:36,4.82
28/11/2023 09:36,4.82
28/11/2023 09:36,4.82
28/11/2023 09:35,4.82
28/11/2023 09:35,4.82
28/11/2023 09:35,4.82
28/11/2023 09:35,4.82
28/11/2023 09:35,4.82
28/11/2023 09:34,4.82
28/11/2023 09:34,4.82
28/11/2023 09:34,4.82
28/11/2023 09:34,4.82
28/11/2023 09:34,4.82
28/11/2023 09:34,4.82
28/11/2023 09:33,4.82
28/11/2023 09:33,4.82
28/11/2023 09:33,4.83
28/11/2023 09:33,4.82
28/11/2023 09:33,4.82
28/11/2023 09:32,4.82
28/11/2023 09:32,4.82
28/11/2023 09:32,4.83
28/11/2023 09:32,4.82
28/11/2023 09:32,4.83
28/11/2023 09:32,4.82
28/11/2023 09:31,4.82
28/11/2023 09:31,4.83
28/11/2023 09:31,4.83
28/11/2023 09:31,4.83
28/11/2023 09:31,4.82
28/11/2023 09:31,4.82
28/11/2023 09:30,4.83
28/11/2023 09:30,4.83
28/11/2023 09:30,4.83
28/11/2023 09:30,4.82
28/11/2023 09:30,4.82
28/11/2023 09:30,4.82
28/11/2023 09:29,4.82
28/11/2023 09:29,4.83
28/11/2023 09:29,4.83
28/11/2023 09:29,4.83
28/11/2023 09:29,4.82
28/11/2023 09:29,4.83
28/11/2023 09:28,4.83
28/11/2023 09:28,4.83
28/11/2023 09:28,4.83
28/11/2023 09:28,4.83
28/11/2023 09:28,4.83
28/11/2023 09:28,4.83
28/11/2023 09:27,4.83
28/11/2023 09:27,4.83
28/11/2023 09:27,4.83
28/11/2023 09:27,4.83
28/11/2023 09:27,4.83
28/11/2023 09:26,4.83
28/11/2023 09:26,4.83
28/11/2023 09:26,4.83
28/11/2023 09:26,4.83
28/11/2023 09:26,4.83
28/11/2023 09:26,4.83
28/11/2023 09:25,4.83
28/11/2023 09:25,4.83
28/11/2023 09:25,4.83
28/11/2023 09:25,4.83
28/11/2023 09:25,4.83
28/11/2023 09:25,4.83
28/11/2023 09:24,4.83
28/11/2023 09:24,4.83
28/11/2023 09:24,4.83
28/11/2023 09:24,4.84
28/11/2023 09:24,4.83
28/11/2023 09:23,4.83
28/11/2023 09:23,4.83
28/11/2023 09:23,4.83
28/11/2023 09:23,4.84
28/11/2023 09:23,4.83
28/11/2023 09:23,4.83
28/11/2023 09:22,4.83
28/11/2023 09:22,4.84
28/11/2023 09:22,4.83
28/11/2023 09:22,4.83
28/11/2023 09:22,4.83
28/11/2023 09:22,4.83
28/11/2023 09:21,4.83
28/11/2023 09:21,4.83
28/11/2023 09:21,4.84
28/11/2023 09:21,4.84
28/11/2023 09:21,4.84
28/11/2023 09:21,4.84
28/11/2023 09:20,4.83
28/11/2023 09:20,4.83
28/11/2023 09:20,4.84
28/11/2023 09:20,4.83
28/11/2023 09:20,4.84
28/11/2023 09:19,4.84
28/11/2023 09:19,4.83
28/11/2023 09:19,4.84
28/11/2023 09:19,4.84
28/11/2023 09:19,4.84
28/11/2023 09:18,4.84
28/11/2023 09:18,4.84
28/11/2023 09:18,4.84
28/11/2023 09:18,4.84
28/11/2023 09:18,4.84
28/11/2023 09:17,4.84
28/11/2023 09:17,4.84
28/11/2023 09:17,4.84
28/11/2023 09:17,4.84
28/11/2023 09:17,4.84
28/11/2023 09:17,4.84
28/11/2023 09:16,4.84
28/11/2023 09:16,4.84
28/11/2023 09:16,4.84
28/11/2023 09:16,4.84
28/11/2023 09:16,4.84
28/11/2023 09:16,4.84
28/11/2023 09:15,4.84
28/11/2023 09:15,4.84
28/11/2023 09:15,4.84
28/11/2023 09:15,4.84
28/11/2023 09:15,4.84
28/11/2023 09:15,4.84
28/11/2023 09:14,4.84
28/11/2023 09:14,4.84
28/11/2023 09:14,4.84
28/11/2023 09:14,4.84
28/11/2023 09:14,4.84
28/11/2023 09:13,4.84
28/11/2023 09:13,4.84
28/11/2023 09:13,4.84
